CO(GT),C6H6(GT),NOx(GT),NO2(GT),anomaly
1.9,9.4,108,104,1
1.4,6.9,61,81,1
0.8,4.0,34,51,1
0.6,3.0,-200,-200,1
0.6,2.6,24,40,1
0.5,2.4,27,34,1
1.0,6.8,70,61,1
2.7,18.9,176,95,1
5.0,30.2,310,142,1
3.3,14.9,221,128,1
2.4,12.2,168,115,1
1.7,8.3,109,84,1
1.7,9.0,102,85,1
2.4,13.7,129,110,1
2.2,14.1,117,107,1
2.2,12.0,112,107,1
2.3,12.2,122,113,1
2.6,13.1,114,107,1
2.3,12.6,111,106,1
3.3,18.3,158,125,1
3.5,17.2,202,139,1
2.5,12.9,166,117,1
2.5,13.7,143,107,1
2.4,13.4,122,98,1
2.5,13.5,113,97,1
2.1,9.9,109,95,1
1.0,4.4,53,68,1
0.8,4.3,-200,-200,1
-200.0,3.3,32,51,1
0.5,3.4,35,44,1
1.3,9.3,123,77,1
3.6,23.4,254,100,1
4.8,27.7,300,125,1
3.7,22.1,281,154,1
1.9,10.0,169,125,1
1.7,8.9,152,117,1
1.9,9.8,127,105,1
1.8,9.4,118,103,1
1.7,9.8,120,106,1
1.8,9.5,125,107,1
1.7,9.5,117,102,1
2.8,15.4,166,124,1
3.6,19.4,180,133,1
3.3,16.5,172,125,1
2.9,14.3,160,124,1
1.7,8.2,103,97,1
1.7,8.7,87,94,1
2.8,15.2,147,120,1
1.8,10.6,120,105,1
1.0,6.0,63,81,1
0.5,3.1,30,43,1
0.4,2.5,-200,-200,1
0.3,1.8,19,32,1
0.4,2.6,27,36,1
0.8,6.5,65,59,1
2.2,14.5,169,92,1
4.4,28.8,244,121,1
3.7,21.3,274,151,1
2.5,14.9,202,142,1
2.5,15.6,186,141,1
2.3,14.3,153,129,1
2.0,12.6,112,106,1
2.0,13.4,117,125,1
2.1,12.6,109,126,1
2.4,14.8,133,147,1
3.1,18.6,185,180,1
2.9,16.7,167,164,1
3.5,20.8,218,180,1
2.9,16.0,171,153,1
1.5,7.6,78,105,1
1.7,10.2,84,98,1
2.2,13.8,110,107,1
1.6,10.4,87,87,1
1.0,6.5,58,80,1
0.6,4.3,39,62,1
0.6,3.4,-200,-200,1
0.6,3.9,38,54,1
0.5,3.0,41,56,1
0.5,3.2,47,62,1
0.9,5.6,72,72,1
1.4,9.1,100,86,1
1.6,9.7,104,99,1
1.6,8.6,109,98,1
1.7,9.6,103,102,1
1.7,9.8,75,84,1
1.5,10.3,72,83,1
1.2,-200.0,56,68,1
1.2,-200.0,51,63,1
1.1,-200.0,52,65,1
1.0,-200.0,46,63,1
1.1,-200.0,44,56,1
1.6,-200.0,72,77,1
1.7,-200.0,88,91,1
1.4,-200.0,56,70,1
1.7,-200.0,82,95,1
2.4,-200.0,125,113,1
2.3,-200.0,144,109,1
1.2,-200.0,54,65,1
1.0,-200.0,48,60,1
1.4,-200.0,-200,-200,-1
-200.0,-200.0,41,62,1
1.0,-200.0,40,60,1
0.9,-200.0,48,65,1
0.8,-200.0,44,55,1
1.0,-200.0,59,66,1
1.2,-200.0,59,67,1
1.2,-200.0,53,64,1
1.0,-200.0,42,59,1
1.0,-200.0,43,59,1
0.6,-200.0,23,36,1
0.7,-200.0,22,35,1
0.8,-200.0,37,54,1
1.1,-200.0,53,71,1
1.4,-200.0,68,86,1
2.8,-200.0,125,114,1
2.5,-200.0,96,105,1
1.6,-200.0,75,87,1
1.4,-200.0,74,85,1
2.3,-200.0,92,91,1
4.2,-200.0,136,108,1
3.0,-200.0,119,99,1
2.2,-200.0,76,83,1
0.6,-200.0,21,36,1
0.3,-200.0,-200,-200,-1
0.3,1.5,15,24,1
0.5,3.5,52,43,1
1.3,8.3,85,64,1
2.5,17.3,177,91,1
3.7,23.3,232,109,1
2.5,13.8,201,110,1
1.8,10.2,134,111,1
1.5,7.9,104,106,1
1.5,8.8,89,104,1
1.2,7.2,66,76,1
1.4,8.3,85,84,1
1.6,9.6,105,102,1
1.6,9.0,99,102,1
2.2,12.4,132,124,1
3.0,15.3,186,147,1
3.0,16.1,174,138,1
2.7,14.1,149,126,1
2.1,11.4,114,112,1
1.6,9.5,92,95,1
1.3,7.4,75,80,1
1.1,6.4,74,79,1
0.7,4.1,35,49,1
0.4,1.9,22,36,1
0.2,1.4,-200,-200,1
0.2,1.2,24,40,1
0.3,2.2,30,37,1
0.9,6.4,93,67,1
3.1,18.5,332,106,1
5.0,30.2,387,134,1
2.8,14.2,267,123,1
2.8,14.3,269,136,1
2.1,12.6,193,109,1
3.1,18.0,239,144,1
3.0,17.1,232,154,1
2.1,13.0,152,126,1
1.7,11.2,115,98,1
2.2,13.6,169,120,1
3.5,20.5,226,145,1
3.6,20.2,218,139,1
4.1,23.1,245,148,1
4.0,20.3,236,139,1
1.8,9.3,104,93,1
1.7,10.5,104,96,1
2.4,13.6,144,104,1
1.2,8.0,79,83,1
0.8,4.6,51,66,1
0.5,3.2,38,55,1
0.3,2.4,-200,-200,1
-200.0,2.1,24,37,1
0.4,2.2,30,40,1
1.0,6.7,73,51,1
3.8,23.1,305,117,1
3.2,19.0,295,110,1
3.5,20.1,331,136,1
3.2,16.4,304,152,1
2.3,13.0,210,119,1
2.2,13.1,163,106,1
2.1,11.8,132,101,1
1.9,12.7,126,110,1
2.4,14.1,150,124,1
2.5,14.4,171,137,1
3.6,20.7,234,159,1
3.9,21.6,251,152,1
4.4,24.2,294,166,1
4.8,21.8,300,163,1
2.5,13.0,159,121,1
2.8,15.1,176,125,1
3.2,16.6,192,120,1
2.6,12.7,152,103,1
1.5,8.6,63,64,1
1.0,5.3,35,44,1
0.8,3.6,-200,-200,1
0.6,2.8,21,35,1
0.6,3.1,41,46,1
0.7,3.7,48,54,1
1.2,6.9,102,68,1
1.5,8.6,111,77,1
1.3,7.1,93,74,1
1.6,6.6,118,92,1
1.5,7.2,93,83,1
1.2,5.0,56,58,1
1.1,5.7,51,55,1
1.2,6.0,52,61,1
1.3,6.1,59,65,1
1.4,8.0,62,74,1
1.6,7.8,85,89,1
2.1,11.1,109,103,1
3.0,15.9,168,128,1
2.8,13.7,166,122,1
3.8,21.6,149,125,1
3.2,16.8,118,119,1
4.1,20.5,160,126,1
2.6,14.1,124,100,1
2.0,10.9,95,94,1
0.9,3.6,34,52,1
0.7,3.3,-200,-200,1
0.6,2.4,45,64,1
0.6,3.0,35,46,1
1.6,8.9,141,88,1
2.6,14.8,199,104,1
2.9,16.2,224,125,1
2.8,14.6,245,151,1
1.9,8.0,153,113,1
1.9,9.1,145,102,1
2.1,10.0,130,108,1
1.9,9.8,95,93,1
1.6,8.3,88,89,1
1.6,7.5,89,84,1
2.1,11.7,127,111,1
2.4,13.3,149,115,1
2.8,14.4,170,127,1
3.4,17.9,210,129,1
3.4,15.9,230,140,1
2.7,14.2,203,137,1
2.6,13.8,174,130,1
2.3,11.7,164,121,1
1.2,6.2,76,79,1
1.0,5.1,52,69,1
0.9,4.5,47,61,1
1.1,4.9,-200,-200,1
-200.0,2.5,37,58,1
0.4,2.3,41,58,1
0.9,5.5,74,70,1
1.8,10.4,168,104,1
2.2,12.4,176,109,1
2.4,14.0,184,129,1
2.3,12.7,187,144,1
1.6,9.0,118,101,1
1.4,8.5,89,90,1
1.4,8.2,70,86,1
1.0,5.9,51,69,1
1.0,5.6,52,65,1
1.2,6.7,70,73,1
1.3,6.1,80,73,1
1.5,6.7,90,78,1
1.9,9.2,111,98,1
1.8,8.2,107,99,1
1.4,7.0,73,83,1
1.7,9.5,75,88,1
2.7,15.1,144,117,1
2.1,11.7,120,97,1
1.4,9.3,71,75,1
1.0,6.4,40,53,1
1.0,6.7,-200,-200,1
0.8,4.2,34,45,1
0.5,2.6,27,42,1
0.6,2.8,30,44,1
0.6,3.1,40,50,1
1.0,6.2,56,60,1
1.6,7.9,104,100,1
1.9,10.5,121,111,1
1.7,9.0,100,110,1
1.1,6.3,59,74,1
0.8,3.5,42,56,1
0.7,4.0,38,50,1
0.7,4.2,40,54,1
1.2,6.9,70,90,1
1.6,7.9,95,109,1
1.6,7.9,90,110,1
1.7,10.3,90,103,1
2.0,10.5,111,120,1
2.3,12.7,135,134,1
2.4,11.9,146,137,1
1.7,9.3,100,99,1
1.2,7.9,69,78,1
1.0,5.0,47,63,1
0.6,3.4,26,41,1
0.5,3.2,-200,-200,1
0.4,2.7,24,39,1
0.5,3.1,55,60,1
0.7,5.0,47,54,1
3.2,20.7,209,119,1
5.6,32.4,348,159,1
4.6,24.2,337,182,1
3.3,16.6,280,183,1
2.1,13.2,169,144,1
1.9,12.3,126,118,1
1.9,12.1,108,106,1
1.6,11.1,93,97,1
2.0,13.1,112,129,1
1.8,11.6,110,130,1
2.9,17.7,188,163,1
3.4,19.5,203,160,1
3.1,19.7,167,140,1
2.5,15.1,116,115,1
1.8,11.1,89,92,1
1.8,11.7,103,99,1
2.0,11.7,100,96,1
1.5,9.7,86,80,1
0.8,6.0,52,65,1
0.4,3.9,27,46,1
0.3,2.6,-200,-200,1
-200.0,2.8,35,57,1
0.5,3.0,42,54,1
0.7,5.4,57,62,1
3.4,23.5,228,102,1
5.7,33.5,350,140,1
3.2,15.5,232,121,1
2.7,15.3,206,132,1
2.1,12.8,159,122,1
2.8,15.2,184,148,1
2.5,15.7,136,133,1
2.1,12.3,124,130,1
2.5,15.3,133,141,1
2.7,17.6,156,172,1
3.7,21.5,200,198,1
3.7,23.2,202,181,1
4.6,25.6,286,202,1
2.6,14.3,141,120,1
2.5,14.4,117,115,1
2.3,12.6,110,112,1
2.2,13.7,100,97,1
2.5,13.1,112,100,1
0.9,6.1,35,47,1
0.8,5.8,33,44,1
0.7,3.7,-200,-200,1
0.5,2.6,28,42,1
0.7,4.6,49,57,1
0.9,7.4,81,61,1
2.2,15.2,178,106,1
2.8,16.7,223,136,1
2.9,17.0,290,157,1
2.9,18.0,274,171,1
3.0,16.1,278,190,1
2.5,13.4,152,155,1
2.3,14.0,118,139,1
2.1,13.4,141,152,1
1.9,10.4,131,143,1
2.3,12.7,171,168,1
4.2,24.5,287,226,1
4.9,27.8,267,207,1
4.9,23.3,280,197,1
3.5,17.6,224,158,1
2.5,14.5,137,124,1
2.5,14.4,118,110,1
2.6,14.2,128,112,1
2.3,12.9,111,102,1
1.5,9.9,66,77,1
0.9,5.1,36,50,1
0.6,2.8,-200,-200,1
0.6,3.2,31,40,1
0.8,5.4,75,66,1
0.9,6.4,66,60,1
2.4,17.1,154,85,1
3.9,22.3,239,120,1
2.9,14.6,246,134,1
2.7,13.3,261,149,1
2.0,10.5,179,125,1
2.4,14.2,159,132,1
2.0,12.2,111,114,1
1.8,10.1,101,110,1
1.9,11.7,118,121,1
1.8,10.9,120,127,1
2.9,17.3,177,157,1
3.3,18.0,186,169,1
4.4,22.9,235,179,1
3.4,16.5,195,149,1
1.9,10.2,106,111,1
2.1,11.6,107,112,1
2.5,14.3,134,120,1
2.3,13.3,117,105,1
1.7,10.0,83,90,1
1.5,7.6,77,87,1
0.8,3.4,-200,-200,1
-200.0,3.3,37,54,1
0.5,2.9,50,61,1
0.8,5.6,60,63,1
2.6,17.5,179,102,1
4.9,29.0,300,149,1
2.9,17.0,263,147,1
2.8,15.6,265,158,1
1.8,10.1,164,112,1
1.8,11.7,122,108,1
1.9,12.0,125,120,1
1.7,11.0,125,117,1
1.7,11.2,115,119,1
1.9,10.5,162,149,1
2.1,11.8,149,174,1
2.4,13.8,161,163,1
3.0,17.3,201,161,1
2.8,14.2,209,154,1
1.9,10.7,133,124,1
2.1,12.7,133,122,1
1.8,10.1,134,119,1
2.5,13.1,164,131,1
1.1,7.4,72,84,1
0.7,4.6,50,77,1
0.7,4.7,-200,-200,1
0.4,2.8,27,41,1
0.7,4.5,74,68,1
0.7,5.9,69,69,1
1.8,11.1,162,101,1
2.3,14.4,208,120,1
1.9,11.1,168,124,1
1.7,9.9,139,113,1
1.3,8.8,104,97,1
1.5,9.9,99,94,1
1.3,7.4,89,86,1
0.8,6.1,57,70,1
0.8,6.2,64,70,1
1.1,7.1,65,82,1
1.2,8.0,79,93,1
1.2,7.3,80,89,1
1.4,8.7,81,90,1
1.1,7.5,59,67,1
1.5,9.0,90,94,1
2.0,11.6,122,109,1
1.9,10.2,120,103,1
2.2,12.3,126,101,1
1.1,6.4,68,71,1
1.1,7.2,65,71,1
0.8,6.1,-200,-200,1
0.6,4.3,38,49,1
0.6,3.8,31,43,1
0.6,4.0,40,44,1
0.6,4.2,36,42,1
1.1,6.1,64,69,1
1.0,6.0,56,65,1
1.0,5.9,56,68,1
1.0,5.4,43,58,1
0.8,4.9,40,52,1
0.7,3.9,34,46,1
0.4,3.2,28,40,1
0.5,4.1,32,47,1
0.6,4.0,39,56,1
0.7,4.8,52,64,1
0.9,5.5,60,71,1
1.6,9.1,104,103,1
1.6,9.1,102,97,1
1.7,10.1,120,108,1
1.3,7.4,89,87,1
1.9,9.9,121,104,1
1.5,9.0,107,93,1
0.6,3.7,41,55,1
0.4,3.0,34,49,1
0.3,2.5,-200,-200,1
-200.0,2.6,41,56,1
0.4,2.4,38,43,1
0.7,5.6,59,57,1
2.0,14.3,165,80,1
3.9,27.7,287,134,1
3.6,19.1,317,157,1
3.2,15.9,330,175,1
2.2,12.3,204,147,1
2.2,12.2,189,140,1
2.1,11.7,165,137,1
1.8,10.4,139,123,1
2.0,12.7,156,138,1
1.8,11.1,130,132,1
3.0,19.0,173,174,1
4.3,24.1,302,203,1
3.5,19.1,239,176,1
2.5,13.6,139,125,1
1.8,10.7,92,98,1
1.9,11.3,104,103,1
1.9,9.6,108,104,1
1.9,9.8,107,105,1
0.9,4.9,55,75,1
0.7,4.1,43,60,1
0.6,3.3,-200,-200,1
0.4,2.2,23,36,1
0.7,4.6,65,66,1
1.6,10.2,165,97,1
3.8,23.3,274,115,1
5.1,31.0,369,145,1
3.4,17.6,308,162,1
2.6,14.3,227,147,1
2.2,13.7,178,132,1
3.4,19.3,267,179,1
3.4,19.3,278,174,1
1.8,11.3,165,132,1
2.0,12.7,172,151,1
2.4,15.3,216,168,1
3.8,22.5,306,192,1
4.4,25.0,317,194,1
3.9,21.1,251,155,1
4.0,23.8,230,159,1
2.5,14.9,154,125,1
2.1,12.8,137,108,1
2.4,14.3,133,110,1
2.1,14.3,117,99,1
1.6,9.2,106,95,1
0.8,5.1,55,69,1
0.5,3.0,-200,-200,1
0.4,2.6,27,45,1
0.5,4.0,46,53,1
1.3,9.9,144,88,1
4.1,27.3,392,136,1
4.1,27.9,358,141,1
4.0,24.5,381,189,1
2.2,14.2,261,166,1
2.0,11.9,207,154,1
2.0,13.1,155,149,1
2.2,15.1,193,142,1
2.2,14.1,195,130,1
1.8,11.3,159,121,1
1.8,10.8,120,116,1
3.3,21.5,228,177,1
4.3,21.8,348,233,1
5.3,29.8,337,223,1
4.3,22.5,282,184,1
3.6,21.8,228,165,1
2.4,17.1,168,132,1
2.1,15.4,173,122,1
1.2,10.2,87,88,1
0.9,7.2,65,79,1
0.6,5.8,43,60,1
0.5,4.2,-200,-200,1
-200.0,5.1,43,60,1
0.6,5.4,66,74,1
0.6,6.2,57,62,1
2.2,16.9,231,115,1
3.2,23.2,219,119,1
3.0,18.0,288,155,1
2.7,17.6,312,162,1
3.2,20.3,361,189,1
1.4,10.6,147,115,1
1.3,9.9,111,109,1
1.4,10.7,98,108,1
2.1,16.5,156,145,1
2.4,16.9,213,167,1
3.1,20.5,250,200,1
3.5,19.4,253,178,1
5.1,30.0,317,206,1
4.5,24.6,309,192,1
2.9,16.9,201,137,1
2.6,15.8,173,128,1
2.7,16.6,156,121,1
3.2,19.5,190,136,1
2.3,16.6,129,109,1
1.0,6.2,65,74,1
0.5,2.7,-200,-200,1
0.4,2.3,29,40,1
0.6,3.9,58,61,1
1.0,7.2,92,83,1
2.9,18.1,228,129,1
2.7,15.1,172,-200,1
1.8,9.7,154,115,1
1.8,9.4,166,130,1
1.7,9.6,149,137,1
1.5,9.5,111,116,1
1.7,9.6,145,129,1
1.3,9.6,105,117,1
1.5,10.3,113,138,1
1.5,10.2,115,139,1
2.3,14.0,202,180,1
2.2,14.0,180,162,1
2.8,16.6,190,158,1
2.7,13.6,207,162,1
1.7,10.2,113,112,1
1.5,9.5,98,104,1
2.3,11.8,152,125,1
2.3,13.0,161,127,1
1.5,9.6,91,95,1
1.0,6.7,57,70,1
0.5,2.9,-200,-200,1
0.3,2.6,22,33,1
0.4,4.0,41,45,1
0.5,4.3,53,56,1
0.9,5.9,92,74,1
1.1,6.8,91,84,1
1.4,8.8,89,93,1
1.1,6.7,81,97,1
0.9,6.4,66,83,1
0.8,6.0,53,71,1
0.8,6.0,61,78,1
0.6,5.0,48,62,1
0.6,4.4,39,54,1
0.5,4.4,41,59,1
0.7,5.5,48,69,1
0.8,5.8,50,67,1
0.9,5.3,51,58,1
1.3,8.0,70,77,1
1.3,7.2,89,94,1
1.4,8.0,100,97,1
1.9,10.4,139,110,1
2.3,11.6,176,116,1
1.0,6.4,71,74,1
0.5,4.1,37,51,1
1.0,6.4,-200,-200,1
0.4,2.7,30,40,1
0.3,2.6,29,36,1
0.2,2.3,25,35,1
0.4,3.1,40,48,1
0.3,3.1,32,38,1
0.6,4.0,43,54,1
0.6,4.6,44,57,1
0.6,3.9,35,54,1
0.5,3.8,32,46,1
0.4,2.8,21,36,1
0.2,2.5,10,19,1
0.4,3.0,22,34,1
0.6,4.7,46,63,1
0.9,5.0,66,86,1
0.7,4.5,49,65,1
1.2,7.7,86,101,1
1.6,9.7,111,116,1
1.8,11.0,143,124,1
2.4,11.8,184,136,1
1.5,8.7,134,108,1
0.9,7.5,78,82,1
0.8,5.7,50,68,1
0.2,2.0,13,22,1
0.1,1.4,-200,-200,1
-200.0,1.8,24,34,1
0.5,3.3,43,43,1
1.4,9.4,146,84,1
3.3,21.1,333,108,1
3.6,17.2,298,112,1
1.7,8.5,178,104,1
1.5,6.8,177,107,1
1.6,7.4,172,102,1
2.1,12.1,183,104,1
2.1,9.6,164,96,1
1.6,7.4,122,80,1
1.3,6.4,105,72,1
1.6,8.3,144,106,1
3.1,14.0,220,119,1
3.3,15.3,207,119,1
3.4,15.4,210,128,1
2.8,10.9,175,112,1
1.5,7.5,117,95,1
1.3,5.2,93,85,1
1.6,7.1,118,101,1
1.5,7.6,132,94,1
1.0,5.0,88,76,1
0.5,2.0,43,50,1
0.4,1.5,-200,-200,1
0.6,2.5,44,51,1
0.7,3.3,50,42,1
1.3,7.3,101,62,1
4.0,23.8,339,111,1
5.0,27.6,379,129,1
3.6,16.7,321,135,1
2.8,14.3,272,139,1
2.6,13.3,278,134,1
2.7,14.5,253,141,1
2.3,11.5,187,112,1
2.0,10.8,149,105,1
1.3,6.4,89,72,1
1.7,8.8,124,90,1
2.8,14.3,206,126,1
3.8,19.4,241,154,1
4.9,27.1,303,173,1
4.3,19.7,294,162,1
2.6,13.6,203,128,1
2.4,12.1,176,120,1
1.9,11.0,155,111,1
1.4,8.8,108,89,1
1.1,6.7,72,69,1
0.9,6.3,65,70,1
0.7,4.1,-200,-200,1
0.5,2.9,39,59,1
0.8,5.0,79,73,1
1.3,9.9,140,89,1
4.7,27.5,427,142,1
4.6,30.4,366,145,1
3.7,19.8,311,156,1
2.8,15.7,275,148,1
1.8,11.3,195,122,1
1.9,12.6,144,106,1
2.0,11.9,162,106,1
2.0,14.4,200,127,1
2.1,12.4,176,113,1
2.1,11.7,203,136,1
3.2,18.4,237,153,1
4.0,22.9,263,172,1
4.6,25.0,300,190,1
3.0,15.5,189,160,1
2.9,16.7,185,159,1
1.9,11.2,134,123,1
1.4,9.0,96,101,1
2.1,12.1,122,116,1
1.2,8.9,64,80,1
0.6,3.7,30,51,1
0.4,3.1,-200,-200,1
-200.0,2.5,23,37,1
0.4,3.1,36,46,1
0.7,5.7,58,64,1
2.3,15.6,168,108,1
4.0,25.2,306,151,1
2.8,15.4,231,153,1
1.6,8.4,157,116,1
1.6,8.0,132,116,1
2.0,12.1,136,130,1
2.0,12.6,127,131,1
1.7,10.6,125,131,1
2.0,12.6,138,135,1
2.2,14.3,163,152,1
3.2,20.3,259,198,1
3.6,20.5,236,183,1
3.8,22.1,245,175,1
4.8,23.8,344,193,1
2.8,14.7,188,140,1
2.6,15.1,149,128,1
1.9,10.8,102,100,1
1.7,10.2,99,97,1
1.0,6.5,48,67,1
0.7,3.9,36,58,1
0.5,2.8,-200,-200,1
0.4,2.1,30,45,1
0.6,3.4,56,62,1
0.7,4.7,51,59,1
2.4,15.8,172,102,1
4.4,26.6,316,154,1
3.1,14.8,269,157,1
2.0,9.3,196,138,1
2.1,12.0,206,142,1
2.1,10.9,156,125,1
2.1,11.9,120,120,1
2.2,13.2,161,150,1
1.6,8.9,114,120,1
2.4,13.0,191,173,1
3.3,18.2,236,187,1
4.0,23.7,287,206,1
4.1,21.6,266,187,1
4.2,21.6,274,170,1
2.9,16.5,196,149,1
2.3,12.3,144,124,1
2.2,13.6,142,119,1
2.1,12.8,124,108,1
1.6,9.4,93,93,1
1.2,8.3,71,77,1
1.2,6.7,-200,-200,1
0.9,4.6,56,76,1
0.6,3.6,46,58,1
0.7,5.0,51,63,1
1.3,8.2,83,75,1
2.0,10.7,175,111,1
1.9,10.3,148,116,1
2.2,12.9,167,138,1
1.9,11.0,120,117,1
1.5,8.3,78,94,1
1.4,8.2,76,91,1
1.0,5.2,45,60,1
1.0,4.6,54,66,1
1.4,7.2,70,87,1
1.6,9.4,87,106,1
1.6,8.0,69,94,1
2.1,10.7,95,112,1
2.0,9.6,107,120,1
1.9,8.7,88,106,1
2.3,11.6,100,112,1
2.4,11.8,125,120,1
2.2,10.5,132,114,1
1.2,5.5,57,70,1
1.1,5.5,46,64,1
0.8,3.8,-200,-200,1
-200.0,2.9,34,55,1
0.6,3.4,33,50,1
0.7,4.1,50,62,1
0.4,4.1,39,53,1
0.6,4.7,84,85,1
0.9,7.1,93,102,1
0.9,7.4,82,97,1
0.8,7.3,73,91,1
0.4,4.2,43,62,1
0.3,4.1,39,57,1
0.1,3.8,27,40,1
0.5,5.8,46,60,1
0.4,5.6,53,70,1
0.3,4.8,38,53,1
0.4,5.3,39,54,1
0.6,6.1,49,58,1
0.8,7.4,68,73,1
1.2,9.0,102,99,1
1.6,11.7,123,102,1
1.2,11.0,106,101,1
0.5,6.0,66,77,1
0.3,4.3,43,55,1
0.1,2.8,33,51,1
-200.0,2.3,-200,-200,1
0.1,2.9,33,50,1
0.3,4.1,75,75,1
0.8,8.3,111,89,1
2.3,16.6,250,112,1
3.4,25.6,313,142,1
2.5,17.7,263,145,1
2.4,16.2,282,165,1
2.1,15.1,226,159,1
-200.0,14.3,176,159,1
-200.0,10.8,120,131,1
-200.0,10.1,96,123,1
-200.0,10.9,115,129,1
-200.0,11.0,108,126,1
-200.0,16.8,142,149,1
-200.0,20.7,219,200,1
-200.0,19.5,193,174,1
-200.0,14.6,128,131,1
-200.0,14.3,127,135,1
-200.0,15.9,132,134,1
-200.0,10.3,77,96,1
-200.0,8.8,72,94,1
-200.0,6.8,57,79,1
-200.0,6.3,56,79,1
-200.0,3.9,-200,-200,1
-200.0,4.1,64,89,1
-200.0,4.7,52,69,1
-200.0,9.9,122,91,1
-200.0,24.8,314,135,1
-200.0,37.3,395,166,1
-200.0,26.2,357,189,1
-200.0,21.6,308,193,1
-200.0,16.1,184,164,1
-200.0,13.0,128,139,1
-200.0,13.4,125,130,1
-200.0,13.7,135,129,1
-200.0,14.0,158,132,1
-200.0,10.4,106,101,1
-200.0,17.5,163,145,1
-200.0,12.9,143,133,1
-200.0,14.9,96,110,1
-200.0,15.5,127,126,1
-200.0,11.2,95,102,1
-200.0,14.3,104,104,1
-200.0,14.2,131,112,1
-200.0,10.0,92,89,1
-200.0,7.6,53,67,1
-200.0,5.8,45,63,1
-200.0,3.1,-200,-200,1
-200.0,2.7,19,34,1
-200.0,5.4,75,73,1
-200.0,7.3,84,76,1
-200.0,18.4,160,102,1
-200.0,27.7,286,140,1
-200.0,16.9,212,150,1
-200.0,22.1,279,194,1
-200.0,17.0,207,162,1
-200.0,12.4,140,138,1
-200.0,11.5,110,123,1
-200.0,7.5,67,86,1
-200.0,10.3,98,107,1
-200.0,10.2,97,106,1
-200.0,11.5,87,99,1
4.1,17.0,124,140,1
3.8,21.5,165,163,1
3.4,18.6,164,144,1
2.9,15.3,122,120,1
3.1,17.0,134,120,1
3.5,14.4,121,106,1
2.4,13.6,112,95,1
1.6,9.6,62,70,1
1.3,6.4,50,67,1
0.9,4.8,-200,-200,1
1.0,5.4,72,70,1
0.8,4.1,48,50,1
1.1,6.3,58,60,1
4.4,26.9,306,127,1
-200.0,35.6,351,149,1
-200.0,17.5,252,158,1
3.3,19.9,266,190,1
2.1,12.6,159,127,1
2.1,14.0,144,130,1
2.0,12.2,117,125,1
1.5,11.1,108,113,1
2.1,14.3,153,143,1
2.3,15.1,166,157,1
2.8,18.6,179,170,1
3.6,22.0,225,187,1
4.0,23.0,261,181,1
3.7,21.1,228,158,1
2.5,15.0,137,112,1
2.3,13.6,116,100,1
2.5,14.6,143,105,1
2.7,16.3,157,107,1
1.3,8.8,72,72,1
0.8,6.0,42,59,1
0.9,5.5,-200,-200,1
0.5,3.9,34,55,1
0.8,5.8,74,70,1
1.0,8.2,75,59,1
2.9,20.1,199,95,1
3.8,25.5,262,120,1
3.5,21.6,236,133,1
2.4,15.5,186,133,1
1.8,11.2,132,120,1
2.1,15.4,140,132,1
2.1,14.6,143,135,1
1.5,12.5,99,121,1
1.5,12.3,107,123,1
1.8,13.2,130,129,1
2.1,14.7,133,129,1
3.0,19.9,188,156,1
2.8,19.1,155,131,1
2.5,14.8,154,115,1
1.4,8.6,95,79,1
1.7,11.0,110,86,1
1.8,13.0,116,91,1
2.4,15.2,153,99,1
1.9,12.1,111,83,1
1.4,9.9,79,74,1
0.8,6.0,-200,-200,1
0.7,6.3,47,64,1
0.8,5.5,61,61,1
0.7,5.8,56,62,1
1.0,8.1,69,65,1
1.7,10.0,109,79,1
1.9,9.9,111,90,1
2.3,13.1,150,116,1
1.7,9.2,87,89,1
1.3,6.7,64,68,1
1.2,6.5,47,53,1
0.8,3.4,34,34,1
0.9,3.8,37,38,1
1.1,5.2,49,53,1
1.2,6.0,54,62,1
1.3,6.0,70,82,1
1.4,5.6,76,88,1
1.2,4.4,59,70,1
0.9,3.7,44,53,1
1.1,5.0,47,57,1
1.5,7.1,71,73,1
1.7,7.9,90,83,1
0.9,3.7,45,52,1
0.7,3.6,44,52,1
0.4,2.1,-200,-200,1
-200.0,2.0,15,26,1
0.3,1.3,10,17,1
0.4,1.7,19,28,1
0.4,1.5,20,29,1
0.5,1.6,30,37,1
0.5,1.7,24,31,1
0.7,2.7,35,46,1
0.9,3.6,48,66,1
0.8,3.0,41,54,1
0.8,2.9,37,50,1
0.7,2.5,32,44,1
0.8,3.1,43,52,1
0.7,2.3,28,37,1
0.8,3.0,38,51,1
1.2,4.0,72,78,1
1.6,6.3,89,90,1
1.6,6.6,103,110,1
1.5,7.3,77,86,1
1.5,6.8,84,88,1
1.5,6.3,82,91,1
1.5,5.9,81,93,1
1.2,4.8,50,68,1
0.8,2.9,30,48,1
-200.0,2.2,-200,-200,1
-200.0,1.8,14,22,1
-200.0,2.5,51,59,1
-200.0,6.8,120,102,1
-200.0,11.2,180,116,1
-200.0,9.7,168,109,1
-200.0,7.2,111,98,1
-200.0,6.8,111,97,1
-200.0,8.1,97,97,1
-200.0,8.3,90,90,1
-200.0,8.6,87,92,1
-200.0,5.3,67,76,1
-200.0,8.1,84,97,1
-200.0,8.2,86,101,1
-200.0,12.0,124,118,1
-200.0,17.6,144,129,1
-200.0,14.5,130,131,1
-200.0,11.8,122,130,1
-200.0,9.4,82,106,1
